,odpts
5,POINT (-86.2975823606313 39.6883231945143)
6,POINT (-86.1939045956223 39.676070964056805)
7,POINT (-86.24745546116579 39.646768219420444)
8,POINT (-86.19371580503167 39.687264982236556)
9,POINT (-86.09389309841994 39.73218039347033)
10,POINT (-86.14534378881488 39.79981033318943)
11,POINT (-86.1393943051817 39.863557245138516)
12,POINT (-86.27028116814543 39.66367083753881)
0,POINT (-86.28518749148559 39.6465625612609)
1,POINT (-86.28048753686203 39.86861175003921)
2,POINT (-86.28329059361623 39.91496409352034)
3,POINT (-86.24889585380808 39.68946516387245)
4,POINT (-86.02462008975439 39.78123737651494)
5,POINT (-86.1809942719089 39.76299199621715)
6,POINT (-86.215124202719 39.86478538247515)
7,POINT (-85.98915218180902 39.854044787140616)
8,POINT (-86.06603895637161 39.755488554057244)
9,POINT (-86.15036719640898 39.878583715568396)
10,POINT (-85.98920557583226 39.84653794845368)
11,POINT (-86.08029583681355 39.72803608864625)
0,POINT (-86.10206900552407 39.75995688463086)
1,POINT (-86.02796559312125 39.76176600040073)
2,POINT (-86.14879143052119 39.7605506062706)
3,POINT (-86.31166689336128 39.65079469492499)
4,POINT (-86.23440127643289 39.72608394646663)
5,POINT (-86.15034795022896 39.68405300338908)
6,POINT (-86.16171070528753 39.89909937795111)
7,POINT (-86.16050728541768 39.81182601982184)
0,POINT (-86.10230165141988 39.92582038861678)
1,POINT (-86.23334001214798 39.686703171433855)
2,POINT (-86.25818058972696 39.864466443603504)
3,POINT (-86.24451466072297 39.919475270749544)
4,POINT (-86.27104314706747 39.74898126968155)
5,POINT (-86.26925585189537 39.637707506287555)
6,POINT (-86.16636236935612 39.7638979016776)
7,POINT (-86.03951275681754 39.73604340304507)
8,POINT (-86.29030395610283 39.911043062034416)
9,POINT (-86.27019890813723 39.831159384326554)
0,POINT (-86.20322574052133 39.77600238477792)
1,POINT (-86.09296791593817 39.73092693601528)
2,POINT (-86.07501499102874 39.81246551005026)
3,POINT (-86.15298619680503 39.80361372266413)
4,POINT (-85.97868603769555 39.65507051227508)
5,POINT (-86.19505962863009 39.69210971437427)
6,POINT (-86.03426071178754 39.76863441702665)
7,POINT (-85.96315953568025 39.908518266882645)
8,POINT (-86.04374349366549 39.666116550280336)
9,POINT (-86.12900691113936 39.84633355837942)
10,POINT (-86.12269446196726 39.67767370028617)
11,POINT (-86.18348329917168 39.80139740749883)
12,POINT (-86.0128213432585 39.92287881675142)
13,POINT (-86.20568789692898 39.719193292830816)
14,POINT (-86.32265491668915 39.733147635459716)
15,POINT (-86.15435246911208 39.900102156668694)
16,POINT (-86.10321899070591 39.82430767125222)
17,POINT (-86.0447362885867 39.646525385661356)
18,POINT (-86.01785046621166 39.730281259306665)
19,POINT (-85.99553757003456 39.76478994201353)
0,POINT (-86.25778886959525 39.709637301863275)
1,POINT (-86.27508495382949 39.89481790018398)
0,POINT (-86.23270304664594 39.82455989454258)
1,POINT (-86.14905278445649 39.70398251999769)
2,POINT (-86.09712830952698 39.70310926602943)
3,POINT (-85.97981578876072 39.92697792075714)
4,POINT (-86.22859900091953 39.73977277706219)
5,POINT (-86.01323251858808 39.695030630656376)
6,POINT (-86.32254595674036 39.78151127542747)
7,POINT (-86.11387022495748 39.731016292015624)
8,POINT (-86.29047706645991 39.66437741245104)
9,POINT (-86.26616021284838 39.70307286816068)
10,POINT (-86.19807710199947 39.79364958947351)
11,POINT (-86.23051727566715 39.674433636569496)
12,POINT (-86.19690786506477 39.72761602589842)
13,POINT (-85.98226534003611 39.92362873985558)
14,POINT (-86.03573874574212 39.90500874272373)
15,POINT (-86.13671324690831 39.69496395724457)
16,POINT (-86.00526427762392 39.897199462831374)
17,POINT (-86.1091308578579 39.888401857253825)
18,POINT (-86.04785192634198 39.867388540583214)
19,POINT (-85.96831414345387 39.743686063769815)
20,POINT (-86.07721562507145 39.74059912112143)
0,POINT (-86.21474525241001 39.63530545495281)
1,POINT (-86.12076989795601 39.7777457752985)
2,POINT (-85.9699135360857 39.773038453591354)
3,POINT (-86.08728348588338 39.69153559727903)
4,POINT (-86.26303398652935 39.818219669163966)
5,POINT (-86.16966321902481 39.75329709923093)
6,POINT (-85.98353617753652 39.84630533076393)
0,POINT (-86.09708148588062 39.920451678526724)
0,POINT (-86.00298886656535 39.82399796117228)
1,POINT (-85.98267248823926 39.92691841558006)
2,POINT (-86.0686676394679 39.75021506528561)
3,POINT (-86.28650413604616 39.76894550622396)
4,POINT (-86.03834831689895 39.892756482181376)
5,POINT (-86.1221860746112 39.76888728554272)
6,POINT (-86.12207143391811 39.85848380882665)
7,POINT (-86.0938884535365 39.698281069016694)
8,POINT (-86.18605235969379 39.749723114036804)
9,POINT (-86.23114117464085 39.884455687335205)
10,POINT (-86.23782303016624 39.769027057756965)
11,POINT (-86.31171410824474 39.86809777502041)
12,POINT (-86.2024276322459 39.668614976334744)
13,POINT (-86.030110034016 39.82765546754536)
14,POINT (-86.04734954315391 39.74821307266005)
15,POINT (-86.10723965744269 39.732059224662315)
16,POINT (-86.32018823781499 39.71758156216726)
17,POINT (-85.96434771686482 39.78381541370098)
18,POINT (-85.9856783226851 39.700205468351136)
19,POINT (-86.30480697672569 39.658050486887475)
0,POINT (-86.11885474280683 39.79454621539245)
1,POINT (-86.25606002594994 39.9051471043815)
2,POINT (-86.09573392097516 39.81526573209628)
3,POINT (-85.99222853147866 39.639306337807206)
4,POINT (-86.24751838501128 39.6855271532475)
5,POINT (-86.119179681237 39.87156084323751)
6,POINT (-86.27431245577381 39.71464194916854)
7,POINT (-86.03018082033299 39.7965161955592)
8,POINT (-86.21863085718664 39.7012821989023)
9,POINT (-86.27511288712508 39.83561522286404)
10,POINT (-86.2626584648611 39.7027032718654)
11,POINT (-86.16111517121867 39.641761177911164)
12,POINT (-86.20455781251694 39.74473313524697)
13,POINT (-86.15998198512354 39.686524034718985)
14,POINT (-86.27775351994732 39.90002767696006)
15,POINT (-86.23908080820412 39.81316160295669)
16,POINT (-86.05731521327561 39.76261008349102)
17,POINT (-85.98559468181556 39.66017531199314)
18,POINT (-86.20766665838308 39.682934041799946)
19,POINT (-86.14946603690477 39.900388260580584)
20,POINT (-85.97670016370341 39.84668020862046)
0,POINT (-85.97636365748347 39.92206597916324)
1,POINT (-86.09053716579432 39.88411871313458)
2,POINT (-86.06497261642463 39.71625001462342)
3,POINT (-86.06820501026144 39.659121914226375)
4,POINT (-86.00601136173026 39.65826111690971)
5,POINT (-86.19987291918352 39.791745924415345)
6,POINT (-86.1244948554255 39.77034116373964)
7,POINT (-86.11575333414783 39.890505802007006)
8,POINT (-86.28389148740176 39.79086893702136)
9,POINT (-86.0380744447758 39.663587982787476)
0,POINT (-86.13205604469111 39.763993531275794)
1,POINT (-86.20197164941514 39.67258370120932)
2,POINT (-86.21258682720972 39.70019475821076)
3,POINT (-86.24397709810596 39.75749059108614)
4,POINT (-86.0364307290547 39.72066437999525)
5,POINT (-85.99439565293399 39.648569884347076)
6,POINT (-86.1219806235505 39.714233300084665)
7,POINT (-86.00379109228012 39.678922207442334)
8,POINT (-86.27973371789402 39.76463082141427)
9,POINT (-86.11630014365052 39.76556907203816)
10,POINT (-86.08463601783978 39.74706654892622)
11,POINT (-86.10455871417122 39.65560744417616)
12,POINT (-86.23635307287954 39.786234289433)
13,POINT (-86.12327790823815 39.8459886343825)
14,POINT (-86.21540611636003 39.688597952172216)
15,POINT (-86.14836892221082 39.72008428463474)
16,POINT (-86.21339332715277 39.8424823813168)
17,POINT (-86.09225634954748 39.64431374935906)
0,POINT (-86.20678187070249 39.91230118789247)
1,POINT (-86.25881693573265 39.66060550271945)
2,POINT (-86.27242592312426 39.8091284117205)
3,POINT (-86.01996002408838 39.79299425375869)
4,POINT (-86.05204027449231 39.86966076505428)
5,POINT (-86.27223793530153 39.8253793870322)
6,POINT (-86.05596632944837 39.72694299281257)
7,POINT (-86.26657295394854 39.914512983921476)
8,POINT (-86.16124667405319 39.65900512851005)
9,POINT (-86.11717317351871 39.741964986907604)
10,POINT (-86.27255405761858 39.84443529919127)
11,POINT (-86.01819893837916 39.817736417157924)
12,POINT (-86.15178081718405 39.82348230410244)
13,POINT (-85.98731875129236 39.80326434155376)
14,POINT (-86.28030591640432 39.89424730059534)
15,POINT (-86.27112761857911 39.91084622764591)
16,POINT (-86.1452576329054 39.926817303844224)
17,POINT (-86.09184481217785 39.67964176584065)
18,POINT (-86.32215206970895 39.68297485990443)
0,POINT (-86.0990646141225 39.64862322957131)
1,POINT (-86.14891228485189 39.69447842657855)
2,POINT (-86.09194403133947 39.82102841044028)
3,POINT (-86.03264422513007 39.84752268886626)
4,POINT (-86.02656818277184 39.68533711967044)
5,POINT (-86.19644247508039 39.90073372514658)
6,POINT (-86.00940803006567 39.78070370297612)
7,POINT (-86.03501454931177 39.84334068136369)
8,POINT (-86.17317537971033 39.834059408536476)
9,POINT (-86.20410183416 39.84132275123025)
10,POINT (-86.22123746451359 39.746429704333934)
11,POINT (-86.02074865237084 39.6769761112699)
12,POINT (-86.2155121465526 39.871494100627984)
0,POINT (-86.12243691829005 39.88106270763773)
1,POINT (-86.18352156192047 39.696677312228694)
2,POINT (-86.09309696663375 39.89040151380334)
3,POINT (-85.97319344828347 39.73476470185886)
4,POINT (-86.09622260547651 39.895631377066664)
5,POINT (-86.30150054082797 39.920352844622876)
6,POINT (-86.1207811918192 39.84899652403725)
7,POINT (-86.13214804835343 39.822095586050274)
8,POINT (-86.3118448925231 39.677242653829815)
9,POINT (-86.24937586029252 39.688496742685594)
10,POINT (-86.1697442697391 39.77578879761747)
11,POINT (-86.22420916583154 39.661072412623405)
12,POINT (-86.1621922474748 39.78681542834204)
13,POINT (-86.21115011304566 39.88546133764217)
14,POINT (-86.0463566642542 39.66879253805071)
15,POINT (-86.29266296060042 39.83981222664509)
16,POINT (-86.0787080786922 39.64577488814319)
17,POINT (-86.28162952342976 39.636971066152036)
18,POINT (-86.08993088875845 39.76155179824268)
19,POINT (-86.25904291809061 39.88402306726664)
20,POINT (-86.3050917806925 39.765028866621385)
0,POINT (-86.15058490450674 39.76618875587056)
1,POINT (-86.0517073626787 39.88625107206087)
2,POINT (-86.12545854784264 39.66768524168532)
3,POINT (-86.10543341842752 39.72278657341991)
4,POINT (-86.03772462434054 39.69391137168362)
5,POINT (-85.97007375543915 39.70038972712727)
0,POINT (-86.02938633923962 39.732407024951115)
1,POINT (-86.26397880898591 39.89589567930167)
2,POINT (-86.17088284907967 39.68401344059846)
3,POINT (-86.31657164827755 39.885301581637634)
4,POINT (-85.94518505965995 39.92494048561507)
5,POINT (-86.11277904169384 39.638421479193966)
6,POINT (-86.03802131949857 39.908484097405896)
0,POINT (-86.15756075153294 39.746911336764846)
1,POINT (-86.1776002306733 39.7493551039583)
2,POINT (-86.02992245778346 39.721924869309696)
3,POINT (-86.20000060538426 39.702525134860515)
4,POINT (-86.05534655880236 39.749279916288806)
5,POINT (-86.0478134547991 39.74433698166743)
6,POINT (-86.24906217686164 39.643539497671775)
7,POINT (-86.1839093865174 39.683877630394136)
8,POINT (-86.23893586582503 39.801795756194785)
9,POINT (-86.29943685501851 39.640225484394456)
10,POINT (-86.24089967681803 39.84486183930397)
11,POINT (-86.00714398280574 39.806243598411555)
12,POINT (-86.07151134790735 39.773044886148746)
13,POINT (-86.03005266413426 39.77730742090265)
14,POINT (-86.21564457503992 39.71581905572259)
15,POINT (-86.1172786376334 39.86158239457134)
16,POINT (-86.10857039678932 39.69438659099798)
0,POINT (-86.10608455615889 39.68392511496974)
1,POINT (-86.30228405018126 39.82528695559003)
2,POINT (-86.14483250067597 39.80820272870926)
3,POINT (-85.98687092680532 39.694782932938914)
4,POINT (-86.26510301761809 39.858241516161904)
5,POINT (-86.03279928200038 39.66633235309874)
6,POINT (-86.02427357863598 39.85690996464817)
0,POINT (-86.05211949253392 39.679680202887376)
1,POINT (-86.21034414797239 39.7268789558034)
2,POINT (-86.02236610220416 39.827741216808214)
3,POINT (-86.21062362630758 39.78378408063842)
4,POINT (-86.25404840129885 39.70371006138862)
5,POINT (-86.17984407419743 39.81257699852523)
6,POINT (-86.24109851748936 39.69770476432515)
7,POINT (-86.05879815724876 39.826825779968935)
8,POINT (-86.04032397407683 39.89971249294277)
9,POINT (-85.99044683321583 39.88795752182751)
10,POINT (-86.18575886462993 39.79371995584078)
11,POINT (-86.14785976411221 39.7558690977471)
12,POINT (-86.22578822646061 39.86118079448099)
13,POINT (-86.20586861137377 39.747805173010974)
14,POINT (-86.01988979701194 39.637347181770906)
15,POINT (-86.27009663721559 39.811745591644886)
0,POINT (-86.02994603936956 39.79753568403302)
1,POINT (-86.28180662608155 39.86552592963085)
2,POINT (-86.22304570922026 39.87340739461669)
3,POINT (-86.12438827572815 39.7911225962462)
4,POINT (-86.06697934160789 39.76912332234799)
5,POINT (-86.23453007487265 39.85896135774339)
6,POINT (-86.01929869423431 39.873508971860936)
7,POINT (-86.05207298653937 39.75094136392019)
8,POINT (-86.14606189539084 39.69173453923656)
9,POINT (-86.13929206215397 39.6590535895813)
10,POINT (-86.29933513496928 39.76301828646474)
11,POINT (-86.08897644992685 39.83201065136967)
12,POINT (-86.16027904311974 39.779210921621164)
13,POINT (-85.99003985131823 39.81657177003018)
14,POINT (-86.30316960306422 39.901633480313336)
0,POINT (-86.2237839497502 39.69241433538661)
1,POINT (-85.9546228827789 39.77712830010297)
2,POINT (-85.96851539933897 39.660400221935014)
3,POINT (-86.28299876464467 39.6588214753077)
4,POINT (-86.08616729477541 39.78865252440712)
5,POINT (-86.0250866993708 39.81106618436202)
6,POINT (-86.00304900871484 39.77949314648842)
7,POINT (-86.30971678696604 39.78173212996423)
0,POINT (-85.96531723295138 39.75029101495898)
1,POINT (-85.957011648759 39.69277500712832)
2,POINT (-86.26252245830435 39.90217640946959)
3,POINT (-86.23719812758004 39.823312853326)
4,POINT (-86.21166247852558 39.730529322236855)
5,POINT (-86.19580001569405 39.84873421051323)
6,POINT (-86.2707759557349 39.71408335023602)
7,POINT (-86.04563138391045 39.716854734648635)
8,POINT (-85.98948885033307 39.85783053825105)
9,POINT (-85.95624476566888 39.6713878504314)
10,POINT (-86.32675917173708 39.76092751428845)
11,POINT (-86.27539652115554 39.686706911261794)
12,POINT (-86.14763312723457 39.65629173871474)
13,POINT (-86.3186226118054 39.830735647288456)
14,POINT (-86.21822844117531 39.687294761327344)
15,POINT (-86.2820556034836 39.78825580526394)
16,POINT (-86.14260665449608 39.82677962681286)
17,POINT (-86.24126828962491 39.67087399108371)
18,POINT (-86.28636740422863 39.8147945485237)
19,POINT (-86.14144739890405 39.69048994691696)
20,POINT (-86.02651219480907 39.84630674496594)
0,POINT (-86.16194512109573 39.874311395053454)
1,POINT (-85.96268237044052 39.82245584834163)
2,POINT (-86.14461909899173 39.69404417141788)
3,POINT (-86.10090016414068 39.9162033946927)
4,POINT (-86.23683416451335 39.661046208945756)
5,POINT (-85.99001553605241 39.722330140229566)
6,POINT (-86.03671665267413 39.87808907027854)
7,POINT (-86.24370276230673 39.855200304241954)
8,POINT (-85.97344223696889 39.90399193938514)
9,POINT (-86.11206762315345 39.85535530971056)
10,POINT (-86.26971983010115 39.822302294223384)
11,POINT (-85.97906256068015 39.74779933733781)
12,POINT (-86.3082128055284 39.758440770261394)
13,POINT (-86.20375852062567 39.75646207890885)
14,POINT (-86.01542104368444 39.89112311083636)
15,POINT (-86.28691582248481 39.81889330714359)
16,POINT (-86.25218739193141 39.91301023476012)
17,POINT (-86.06950652918584 39.764407145992294)
18,POINT (-86.09187519009231 39.911654695194976)
19,POINT (-86.21872034300426 39.80923177287625)
0,POINT (-86.22211513053531 39.865791175512605)
1,POINT (-86.20923274752063 39.83259299255721)
2,POINT (-86.29790097788143 39.866130032713016)
3,POINT (-86.05720948877394 39.9185794670675)
4,POINT (-86.09419707324669 39.89347379007157)
5,POINT (-86.14256114406024 39.84396322469681)
6,POINT (-86.20649725258247 39.759913823776934)
7,POINT (-85.96087787750062 39.64957513628804)
8,POINT (-85.96613283378719 39.64428890465418)
9,POINT (-86.28449666031872 39.81533485403697)
0,POINT (-86.22705662519351 39.88995890348776)
1,POINT (-85.97936362485935 39.882026447598825)
2,POINT (-86.2860086975414 39.794396879969796)
3,POINT (-86.27083669498025 39.72767423081362)
4,POINT (-85.94742317289831 39.881102551743254)
5,POINT (-86.32296064776013 39.702935369816835)
6,POINT (-86.15262531729678 39.75783109462662)
7,POINT (-86.05688881087734 39.64123758174967)
8,POINT (-86.27513866207737 39.77270192275886)
9,POINT (-86.08235538462421 39.91229667314612)
10,POINT (-86.12785127317592 39.68233667846423)
11,POINT (-86.1612270855939 39.689967746093856)
12,POINT (-86.06707964746742 39.87490974814232)
13,POINT (-86.01507879529424 39.68670892713203)
14,POINT (-85.98406244303821 39.89962106891058)
15,POINT (-86.05508763576026 39.92466434699101)
16,POINT (-85.97441300399304 39.71463310871949)
17,POINT (-86.24066000113444 39.720630632133094)
18,POINT (-86.08659678639036 39.7310649997279)
19,POINT (-85.97663755556978 39.81423532605568)
20,POINT (-86.11496475497518 39.66771345254792)
0,POINT (-86.2403635540196 39.670590481409974)
1,POINT (-86.10370053386733 39.739103789175644)
2,POINT (-86.19376440883627 39.7280562910965)
3,POINT (-86.09178674249209 39.854567980551124)
4,POINT (-86.2056675729404 39.83886196986547)
5,POINT (-86.06502252360471 39.84854873596014)
6,POINT (-86.19484119542001 39.82938631074301)
7,POINT (-86.00822387915139 39.78198786710246)
8,POINT (-86.29602045401033 39.640988431646036)
0,POINT (-86.06819231651305 39.91311107622877)
1,POINT (-86.01213223018047 39.831130447416434)
2,POINT (-86.12790375850524 39.65386417372512)
3,POINT (-86.16075234234496 39.71563993559427)
0,POINT (-86.18419176172108 39.80489278990381)
1,POINT (-86.31937268364653 39.71996696488465)
2,POINT (-86.22508486691738 39.78778303043408)
3,POINT (-86.097520529255 39.9188838370721)
4,POINT (-86.0250015051557 39.695824894842715)
5,POINT (-86.0259334790262 39.81218622049823)
6,POINT (-86.13075141630385 39.638228150210296)
7,POINT (-86.14534591548036 39.89308286253581)
8,POINT (-86.26649902640887 39.64363828486656)
9,POINT (-86.06086727435644 39.676137003755976)
10,POINT (-86.32210713883937 39.67638672027874)
11,POINT (-85.9787178969222 39.86357148241254)
12,POINT (-85.99167350942788 39.88120470521172)
13,POINT (-86.32230430134109 39.78928562654615)
14,POINT (-86.26108708478233 39.675655827688274)
15,POINT (-86.20472657271495 39.78295333768023)
16,POINT (-86.00552553310283 39.73329802973837)
0,POINT (-86.15636176523415 39.799207842566936)
1,POINT (-86.10815713357044 39.879294477376014)
2,POINT (-86.22898306580676 39.70742290559339)
3,POINT (-85.99340553996376 39.923820891213346)
4,POINT (-86.26140462854326 39.83293917119511)
5,POINT (-86.12309755723723 39.65346456826953)
6,POINT (-86.21373439426232 39.68583521906458)
7,POINT (-86.10717332066879 39.832672150285475)
8,POINT (-86.0218089040454 39.859791884937295)
9,POINT (-86.20605079635908 39.76751922073084)
0,POINT (-85.97196929020413 39.693757259547695)
1,POINT (-86.06753221622921 39.71967770723606)
2,POINT (-85.9737078929011 39.75123886405953)
3,POINT (-86.19094391207723 39.81446972618415)
4,POINT (-86.11947609694697 39.65673103028137)
5,POINT (-86.12507057979505 39.685949873392985)
6,POINT (-86.19801693163447 39.921744226032125)
7,POINT (-86.08637186805493 39.66809310984956)
8,POINT (-86.03403861175285 39.8318898404296)
9,POINT (-86.03913003816403 39.79251955211066)
10,POINT (-85.98665865126587 39.67251297765052)
11,POINT (-86.0436402718621 39.92479687900966)
12,POINT (-86.13287285669176 39.81666820936167)
0,POINT (-86.13682260696672 39.83872983881175)
1,POINT (-86.0121419313422 39.64425560885802)
2,POINT (-86.00875314315627 39.76811645301925)
3,POINT (-86.08756166485944 39.809570852248)
4,POINT (-86.25598859347676 39.745303165870595)
5,POINT (-86.02999738267006 39.73824012300634)
6,POINT (-86.07326206197966 39.86152876973829)
7,POINT (-86.17982869677658 39.743464263422716)
8,POINT (-86.2997557420398 39.71982012872242)
0,POINT (-85.98897373412673 39.72500245550851)
1,POINT (-86.2353401075984 39.90568019911051)
2,POINT (-86.06651321541145 39.91054649253375)
3,POINT (-86.29632074002973 39.74820688847886)
4,POINT (-86.0310062225384 39.88662787645409)
5,POINT (-86.04687560349007 39.810356622960285)
6,POINT (-86.24668781194615 39.78026627047882)
7,POINT (-86.12294629427691 39.734004159600616)
8,POINT (-86.05705355932261 39.68030380478859)
9,POINT (-86.12714547048061 39.8823280950021)
10,POINT (-86.25435843848501 39.75785056010441)
11,POINT (-86.13137190353048 39.68436136879373)
12,POINT (-86.07854753197013 39.831707246444516)
13,POINT (-86.02674575597041 39.78587792970192)
14,POINT (-86.04652214758501 39.79789190704611)
15,POINT (-86.11791030726121 39.70848841190523)
16,POINT (-86.15896571980487 39.76155827366123)
17,POINT (-86.18342488816617 39.876749641074305)
18,POINT (-86.15650445012011 39.88109921334192)
0,POINT (-86.02540720182087 39.77728975209893)
1,POINT (-86.30300241398795 39.80224812248038)
2,POINT (-86.31843902711243 39.63360448986555)
3,POINT (-85.9919279512683 39.81584871173129)
4,POINT (-86.18485814263047 39.65900044087864)
0,POINT (-86.1374477747415 39.921923364109965)
1,POINT (-86.04590475514769 39.72208249855729)
2,POINT (-86.18242296724299 39.794354506187815)
3,POINT (-86.19095768385692 39.91452329646646)
4,POINT (-86.23009273489384 39.911209579576344)
5,POINT (-86.2447046521589 39.78921661581728)
6,POINT (-86.18349408210926 39.67179570368886)
7,POINT (-85.9583861399181 39.780186178058266)
8,POINT (-86.05208419012914 39.71216476911241)
9,POINT (-85.98588973782772 39.8004952826277)
10,POINT (-86.12528790328888 39.63794208978403)
11,POINT (-86.13349168946654 39.81042279967626)
12,POINT (-85.99801559114199 39.808302373391825)
13,POINT (-86.2919166755582 39.848697575253745)
14,POINT (-86.2861145017548 39.69241194978098)
15,POINT (-86.21129698140645 39.72013566120571)
0,POINT (-85.99399775795894 39.67769526415411)
1,POINT (-86.07772843933847 39.85424799799604)
2,POINT (-86.10359358577911 39.64638842909881)
3,POINT (-86.20188238687125 39.65286132331635)
4,POINT (-86.22809779605582 39.84506176601596)
5,POINT (-85.94431821978715 39.87348762481129)
6,POINT (-86.21113489325406 39.781355174087246)
7,POINT (-85.97044358090663 39.69522342634869)
8,POINT (-85.99763236854771 39.81312663912778)
9,POINT (-86.3146232727478 39.82623938389693)
10,POINT (-86.16007559713181 39.64616786343444)
11,POINT (-86.2069015959542 39.842799312331415)
12,POINT (-86.1947909100617 39.8729613165221)
13,POINT (-86.14435548998358 39.80481796216293)
14,POINT (-86.04942205212186 39.90748153957191)
15,POINT (-86.23884373219623 39.69222267419853)
16,POINT (-86.03308802551807 39.714379921871476)
17,POINT (-86.30530069268463 39.831494939391646)
18,POINT (-86.1031442598967 39.77285387937145)
19,POINT (-86.24555357078037 39.74359973628645)
20,POINT (-86.04025808150656 39.65974054157263)
21,POINT (-86.29778301364705 39.723556005811815)
0,POINT (-86.31511820030943 39.801025048606284)
1,POINT (-86.30631768928599 39.71612559186884)
2,POINT (-86.31665031582361 39.69768081161615)
3,POINT (-85.99099308317685 39.75522352185778)
4,POINT (-86.24860631523765 39.669127365977104)
5,POINT (-86.1794921030628 39.80044672637724)
6,POINT (-86.24193524799921 39.752733259790396)
7,POINT (-85.99298688907456 39.64544724023634)
8,POINT (-86.2796927148866 39.635446802539605)
9,POINT (-86.283198479327 39.81987072694986)
10,POINT (-85.98143053516114 39.74640179029089)
11,POINT (-86.19961366706067 39.76951787866325)
12,POINT (-85.97498729857222 39.84567355358395)
13,POINT (-86.04437574242563 39.780830395563875)
14,POINT (-86.03225236125422 39.70203987518779)
15,POINT (-86.18469620314237 39.63883725713727)
16,POINT (-86.12451261971708 39.740151195457436)
17,POINT (-86.13402026635931 39.826659600053624)
0,POINT (-86.02011566347211 39.84680754800293)
1,POINT (-86.17425430111074 39.63857137833976)
2,POINT (-86.26841272387279 39.75449072186702)
3,POINT (-85.9558759133247 39.89054020603586)
4,POINT (-86.13481569592948 39.87631360490715)
5,POINT (-86.1503104442378 39.820153436351056)
6,POINT (-86.06932363714182 39.7705302992913)
7,POINT (-86.11152518543119 39.71043316807357)
8,POINT (-86.12903301706584 39.88861938206894)
9,POINT (-86.17071403567293 39.785072122404245)
10,POINT (-86.29256173034517 39.887485319001485)
11,POINT (-86.12422253285402 39.64237427613335)
12,POINT (-85.97407415273149 39.882138078299164)
13,POINT (-86.2255203967362 39.900223560315)
14,POINT (-86.10877371263578 39.7652248341219)
15,POINT (-86.11731431457814 39.87754428169792)
16,POINT (-86.13133440333986 39.83050196247723)
17,POINT (-86.02127176606416 39.75170911556715)
18,POINT (-86.31332920747661 39.639162978862565)
19,POINT (-86.13823908203562 39.69979340091928)
20,POINT (-85.99442403970959 39.76634470516579)
0,POINT (-86.06330525480242 39.747569073475375)
1,POINT (-86.00973462043437 39.68061078410719)
2,POINT (-86.20789309377327 39.895560538247125)
3,POINT (-85.95583601853232 39.78949981865381)
4,POINT (-86.21574114361937 39.67779711665107)
5,POINT (-86.20872831619755 39.88902484718046)
6,POINT (-86.00264765872355 39.81836178619139)
7,POINT (-86.03064451561761 39.780427985178044)
8,POINT (-86.1762111329865 39.89458640257674)
9,POINT (-86.17000762309874 39.84131345567502)
10,POINT (-86.02609988694125 39.696789544505656)
11,POINT (-86.30273726235066 39.726876247556596)
12,POINT (-86.11072789039831 39.89895585169891)
13,POINT (-85.98118484371408 39.66936026287991)
14,POINT (-86.01560498280432 39.772349542770954)
15,POINT (-85.96030162594134 39.70478578928815)
16,POINT (-86.15700575996351 39.653767694821305)
17,POINT (-86.213167928469 39.66163483936931)
18,POINT (-85.94837838638492 39.89527075334395)
19,POINT (-86.00461461474734 39.86530909574732)
0,POINT (-86.30374212822413 39.89185799719372)
1,POINT (-86.08019238151029 39.72457571125198)
2,POINT (-86.29215373487544 39.84568649744)
3,POINT (-86.08437656336024 39.742129419793976)
4,POINT (-86.14235003057193 39.70943155119549)
0,POINT (-86.30812864436693 39.77474369548752)
1,POINT (-86.11096865281858 39.69550142157848)
2,POINT (-86.03927084513691 39.88618886875229)
3,POINT (-86.06546947519715 39.711017046720606)
4,POINT (-86.18572155272332 39.812315551439916)
5,POINT (-86.27316826645594 39.693877563979655)
6,POINT (-86.20395905743149 39.78051873178219)
7,POINT (-86.19194810846325 39.75704745716433)
8,POINT (-86.25568741607282 39.87799440068342)
9,POINT (-86.28583292045454 39.694981282842996)
10,POINT (-86.05136335967111 39.82451317155777)
11,POINT (-86.26541011804618 39.651295451532114)
12,POINT (-85.99577809218535 39.653123269535655)
13,POINT (-86.17397571089212 39.91290520548869)
14,POINT (-85.97355306039464 39.685205908654645)
15,POINT (-85.97132757565684 39.91161581527217)
16,POINT (-86.301428016245 39.90828927705722)
17,POINT (-85.97035276425181 39.862996541008535)
18,POINT (-86.03458889465408 39.899363990730734)
19,POINT (-86.05969417769307 39.92491343166839)
0,POINT (-86.2258877171835 39.79406561967891)
1,POINT (-86.3111580226335 39.88286251094419)
2,POINT (-86.07488152914327 39.73215852056356)
3,POINT (-86.01829936355561 39.71320135113509)
4,POINT (-86.30495165470636 39.78477004427104)
5,POINT (-86.0924790280328 39.845765725151594)
6,POINT (-86.09524133549296 39.76488021534745)
7,POINT (-85.97189552721343 39.79525631557382)
8,POINT (-86.31561515054675 39.792228419703505)
9,POINT (-86.02612075921834 39.8098559086906)
10,POINT (-86.00251262980255 39.810298364331324)
11,POINT (-86.25614217636462 39.74824317955722)
12,POINT (-85.98749802925857 39.73465612254361)
13,POINT (-86.17924524808167 39.64970509951505)
14,POINT (-86.03945709507362 39.923199535558446)
15,POINT (-86.05955524030429 39.69319857151751)
